tau,ICR,on_chain_volume,write_reduction,anchored_flows,attacks_anchored,attacks_missed,benign_anchored,anchor_precision
0.001803597784601152,0.9993885743148044,0.5836597963654032,0.4163402036345968,2205435,451128,276,1754307,0.2045528433166246
0.0018218844197690487,0.9993819283834436,0.5830746638134288,0.41692533618657124,2203224,451125,279,1752099,0.2047567564623479
0.0018401711713522673,0.9993819283834436,0.5830743991673175,0.4169256008326825,2203223,451125,279,1752098,0.20475684939745092
0.0018730873707681894,0.9993819283834436,0.5830741345212063,0.41692586547879373,2203222,451125,279,1752097,0.2047569423326383
0.0018767446745187044,0.9993819283834436,0.583073869875095,0.416926130124905,2203221,451125,279,1752096,0.20475703526791003
0.0019023461500182748,0.99937971307299,0.5830736052289838,0.41692639477101623,2203220,451124,280,1752096,0.20475667432212852
0.0019023462664335966,0.9993752824520828,0.5829743629372649,0.4170256370627351,2202845,451122,282,1751723,0.20479062303521128
0.0019023463828489184,0.999368636520722,0.5818387664738897,0.41816123352611034,2198554,451119,285,1747435,0.20518895601381634
0.0019092336297035217,0.999368636520722,0.5818038331872045,0.4181961668127955,2198422,451119,285,1747303,0.2052012761881022
0.0019253042992204428,0.999368636520722,0.5818035685410933,0.4181964314589067,2198421,451119,285,1747302,0.20520136952840243
0.0019321916624903679,0.999368636520722,0.581803303894982,0.418196696105018,2198420,451119,285,1747301,0.20520146286878757
0.0019712201319634914,0.999368636520722,0.5818030392488708,0.4181969607511292,2198419,451119,285,1747300,0.20520155620925765
0.001971220364794135,0.9993309762430107,0.5791518145063649,0.4208481854936351,2188401,451102,302,1737299,0.20613315384154915
0.002183405915275216,0.9993309762430107,0.5791512852141424,0.4208487147858576,2188399,451102,302,1737297,0.2061333422287252
0.0021834061481058598,0.9993309762430107,0.5791499619835861,0.42085003801641385,2188394,451102,302,1737292,0.2061338131981718
0.0021834063809365034,0.9993265456221034,0.578811479607297,0.42118852039270305,2187115,451100,304,1736015,0.20625344346319238
0.0022005171049386263,0.9993265456221034,0.5788106856689632,0.4211893143310368,2187112,451100,304,1736012,0.2062537263752382
0.002240442205220461,0.9993265456221034,0.578810421022852,0.42118957897714804,2187111,451100,304,1736011,0.20625382067942596
0.0022404424380511045,0.9993110384489282,0.577860076837352,0.42213992316264803,2183520,451093,311,1732427,0.20658981827507877
0.002240442670881748,0.99924457913532,0.573670728896259,0.42632927110374097,2167690,451063,341,1716627,0.20808464309933616
0.002282226923853159,0.9992312872725984,0.5733568586083161,0.4266431413916839,2166504,451057,347,1715447,0.20819578454505508
0.0022913103457540274,0.9992312872725984,0.5733565939622048,0.42664340603779516,2166503,451057,347,1715446,0.20819588064267625
0.002293126890435815,0.9992312872725984,0.5733563293160936,0.4266436706839064,2166502,451057,347,1715445,0.20819597674038612
0.0022931271232664585,0.9992312872725984,0.5732814344666097,0.42671856553339027,2166219,451057,347,1715162,0.2082231759577402
0.002293127356097102,0.9991404595440005,0.5693720821112196,0.4306279178887804,2151447,451016,388,1700431,0.2096337953014878
0.0023839601781219244,0.9991404595440005,0.5693310619639759,0.43066893803602413,2151292,451016,388,1700276,0.20964889935908282
0.0024488409981131554,0.9991404595440005,0.5693305326717534,0.4306694673282466,2151290,451016,388,1700274,0.20964909426437162
0.0026824118103832006,0.9991404595440005,0.5693302680256421,0.43066973197435787,2151289,451016,388,1700273,0.2096491917171519
0.0027343162801116705,0.9991404595440005,0.5693300033795309,0.4306699966204691,2151288,451016,388,1700272,0.2096492891700228
0.0027862207498401403,0.9991404595440005,0.5693297387334196,0.43067026126658037,2151287,451016,388,1700271,0.2096493866229843
0.002786220982670784,0.9991360289230933,0.5691309895038705,0.43086901049612947,2150536,451014,390,1699522,0.20972166938846873
0.0027862212155014277,0.998985387812248,0.5622732148230404,0.4377267851769596,2124623,450946,458,1673677,0.21224753756313472
0.0028110085986554623,0.9989765265704336,0.5620715544862677,0.43792844551373233,2123861,450942,462,1672919,0.21232180448720514
0.0028140314389020205,0.9989765265704336,0.5620712898401564,0.4379287101598436,2123860,450942,462,1672918,0.21232190445697927
0.002814635867252946,0.9989765265704336,0.5620710251940452,0.43792897480595483,2123859,450942,462,1672917,0.21232200442684754
0.0028146361000835896,0.9989765265704336,0.5619574920123187,0.4380425079876813,2123430,450942,462,1672488,0.21236490018507792
0.002814636332914233,0.9989255744300006,0.5596810061633433,0.44031899383665674,2114828,450919,485,1663909,0.21321781251241237
0.0030350370798259974,0.9989211438090934,0.5594388549715492,0.4405611450284508,2113913,450917,487,1662996,0.21330915699936562
0.0030980086885392666,0.9989211438090934,0.559438590325438,0.44056140967456203,2113912,450917,487,1662995,0.21330925790666783
0.0030980089213699102,0.9988015170445986,0.5547236552074019,0.44527634479259814,2096096,450863,541,1645233,0.21509654137978412
0.003098009154200554,0.9983230099866195,0.5372821532454479,0.4627178467545521,2030191,450647,757,1579544,0.2219727109419754
0.003159516490995884,0.998196737290764,0.532566424189078,0.46743357581092204,2012372,450590,814,1561782,0.22390989339943113
0.003320973599329591,0.998196737290764,0.5325661595429667,0.4674338404570333,2012371,450590,814,1561781,0.2239100046661376
0.0033209738321602345,0.9981834454280423,0.5320545986099199,0.4679454013900801,2010438,450584,820,1559854,0.22412230568662153
0.003320974064990878,0.9979862827976713,0.5248615173061355,0.4751384826938645,1983258,450495,909,1532763,0.22714896397745526
0.0035284054465591908,0.9979774215558569,0.5243668937242085,0.4756331062757915,1981389,450491,913,1530898,0.2273612097372096
0.0035422344226390123,0.9979774215558569,0.5243666290780973,0.4756333709219027,1981388,450491,913,1530897,0.2273613244856636
