model,view,accuracy,balanced_accuracy,precision_macro,recall_macro_DR,f1_macro,precision_weighted,recall_weighted,f1_weighted,binary_precision,binary_recall_DR,binary_f1,TNR_specificity,FPR,FNR,TP,FP,FN,TN,MCC,cohen_kappa,ROC_AUC_binary,PR_AUC_binary,ROC_AUC_macro_ovr,ROC_AUC_weighted_ovr
logreg,natural_prior,0.5430677747798377,,0.41888657481048636,0.7757672692602607,0.3907152040570497,0.9932800535057866,0.5430677747713935,0.7001106775781559,0.02556275417770318,0.98143348308832,0.04982767947190665,0.5431931755799597,0.45680682442004034,0.018566516911680004,443023.0,16887777.778343707,8381.0,20081411.111914985,,0.026328678363191527,0.9793816796028358,0.6942391434524914,,
mlp,as_sampled,0.9426154604670316,0.7772485678330866,0.7292019730561454,0.7772485678330866,0.7343581433946851,0.988759986434868,0.9426154604670316,0.9641768290122313,0.6850116250976602,0.9672842952211322,0.8020367040221598,0.939656055928856,0.06034394407114393,0.03271570477886771,436636.0,200778.0,14768.0,3126449.0,0.7975661116038475,0.7805205363783073,0.9898656281996968,0.9754085853177887,,
mlp,natural_prior,0.9399548886534654,,0.667275634691514,0.7772485678329252,0.6873156805997176,0.9981842734056972,0.9399548886523327,0.9680198914049142,0.1636871840685144,0.9672842952211322,0.27999298899719677,0.9396560559322038,0.060343944067796154,0.03271570477886771,436636.0,2230866.6666567074,14768.0,34738322.22411812,,0.27116316609497904,0.9898656282000557,0.94000242047801,,
randomforest,as_sampled,0.6348042452411998,0.8261241430021727,0.7168041350698514,0.8261241430021727,0.6633577410723422,0.9928607234414221,0.6348042452411998,0.7677425003211628,0.2563508364571941,0.9959238287653632,0.4077474593104199,0.608039367316988,0.391960632683012,0.004076171234636822,449564.0,1304142.0,1840.0,2023085.0,0.4362174142590756,0.2993509514528895,0.9930030958941773,0.9822330456024951,,
randomforest,natural_prior,0.6107420128292046,,0.7138193332115302,0.8261241430011241,0.658775941580495,0.9992644727109099,0.6107420128218042,0.7573893658086898,0.030091236759691452,0.9959238287653632,0.058417426279526966,0.6080393673210344,0.3919606326789656,0.004076171234636822,449564.0,14490466.667053983,1840.0,22478722.22320471,,0.04171821167149803,0.9930030958944773,0.9701522196559589,,
voting,as_sampled,0.577140239414751,0.7924110560892829,0.6311533881062779,0.7924110560892829,0.5584593915605583,0.9874969813407585,0.577140239414751,0.7193677299547204,0.24031741860499897,0.9967324170809297,0.3872635598063721,0.5725272126007633,0.42747278739923666,0.0032675829190702784,449929.0,1422299.0,1475.0,1904928.0,0.35340183221314575,0.23170603418803426,0.9924625329909839,0.9813554096414353,,
voting,natural_prior,0.5729930236630016,,0.6282203602848445,0.7924110560881392,0.5539512979874799,0.9987213488065468,0.5729930236550675,0.7272528302580532,0.02768239989860458,0.9967324170809297,0.05386869636050619,0.5725272126034797,0.4274727873965203,0.0032675829190702784,449929.0,15803322.222707354,1475.0,21165866.66755134,,0.031445186437004335,0.9924625329912948,0.9693427790340664,,
xgboost,as_sampled,0.6072434699233664,0.8273782148998597,0.7166214669171561,0.8273782148998595,0.6557234759612914,0.9929009545459474,0.6072434699233664,0.746359009930495,0.24360764601693216,0.9963270152679197,0.39149301399638053,0.5802979478105942,0.41970205218940576,0.0036729847320803536,449746.0,1396444.0,1658.0,1930783.0,0.4167919533246968,0.27650675541254766,0.9924689247273204,0.9813864435747222,,
xgboost,natural_prior,0.5830188342879632,,0.7131133411742506,0.8273782148987368,0.6510700747566818,0.9992598028084693,0.5830188342800484,0.7355989129177356,0.02816935381629558,0.9963270152679197,0.05478962943500427,0.5802979478136017,0.41970205218639833,0.0036729847320803536,449746.0,15516044.444908172,1658.0,21453144.44535052,,0.03759606526548265,0.9924689247276306,0.9693569273416496,,
cascade_tuned_argmax,as_sampled,0.9818325737548863,0.789668832481743,0.8427958523585709,0.789668832481743,0.7658308793121915,0.9948316095388297,0.9818325737548863,0.9867096840949032,0.9981127575753407,0.96424267396833,0.9808854184272499,0.9997526468738082,0.0002473531261918709,0.035757326031670075,435263.0,823.0,16141.0,3326404.0,0.9167619452528132,0.9158467515088518,0.9921739082958112,0.9810777131265305,,
cascade_tuned_argmax,natural_prior,0.997943126003562,,0.7783082180018379,0.7896688324817424,0.7526287527548181,0.9991868865761574,0.9979431260036572,0.9984849189182126,0.9794232869886261,0.96424267396833,0.971773697912363,0.9997526468738218,0.0002473531261780816,0.035757326031670075,435263.0,9144.444444444569,16141.0,36960044.446505874,,0.9133676193269717,0.9921739082961237,0.9693029511412484,,
cascade_tuned_tau,as_sampled,0.9951675620085687,0.7799207849477917,0.9275142782221891,0.7799207849477917,0.8136251287692634,0.9946384763886569,0.9951675620085687,0.9940400848197553,0.9963815217291795,0.9644198988046184,0.9801402184778595,0.9995248295352256,0.00047517046477442025,0.03558010119538152,435343.0,1581.0,16061.0,3325646.0,0.9777216123945855,0.977530893394519,0.9921739082958112,0.9810777131265305,,
cascade_tuned_tau,natural_prior,0.999084844359138,,0.8405633305063928,0.7799207849477904,0.7947434618036203,0.9990060989242974,0.9990848443591535,0.9990399337648167,0.9612137519696421,0.9644198988046184,0.9628141562975235,0.9995248295352521,0.00047517046474793476,0.03558010119538152,435343.0,17566.66666666675,16061.0,36951622.224283025,,0.9617979012183963,0.9921739082961237,0.9693029511412484,,
flat_tuned_argmax,as_sampled,0.9952445740269426,0.7813866320084176,0.9650292706099368,0.7813866320084177,0.8171003244487077,0.9946170582515286,0.9952445740269426,0.9941535233746073,0.9966220700577177,0.9647189657158555,0.9804110504999111,0.9995563873459791,0.0004436126540209009,0.03528103428414458,435478.0,1476.0,15926.0,3325751.0,0.9780773382359724,0.9778905541594526,0.9925309435243783,0.9815714009147203,,
flat_tuned_argmax,natural_prior,0.9991209920137378,,0.8617162486636574,0.7813866320084166,0.7949924641149074,0.9991198254636835,0.9991209920137536,0.9991170861892124,0.9637070182659646,0.9647189657158555,0.964212726479646,0.9995563873460038,0.0004436126539961781,0.03528103428414458,435478.0,16400.000000000255,15926.0,36952788.89094978,,0.9632667378905709,0.9925309435246858,0.9696597059203145,,
flat_tuned_tau,as_sampled,0.995360224377559,0.780972908879213,0.9576722880791119,0.780972908879213,0.8171522873728747,0.99491570329202,0.995360224377559,0.9942282576954334,0.997857008613221,0.9644819274973194,0.9808856495927725,0.9997189852090044,0.0002810147909956249,0.03551807250268053,435371.0,935.0,16033.0,3326292.0,0.9786175731065394,0.9784131683868695,0.9925309435243783,0.9815714009147203,,
flat_tuned_tau,natural_prior,0.9992788492430086,,0.8205002299737864,0.7809729088792122,0.7952117882614882,0.9991763502982398,0.9992788492430277,0.9992215317956294,0.9766939799926986,0.9644819274973194,0.970549540372585,0.99971898520902,0.00028101479097996,0.03551807250268053,435371.0,10388.888888889036,16033.0,36958800.00206134,,0.9696587897389217,0.9925309435246858,0.9696597059203145,,
