Model,Class,Support,Precision,Recall/DR,F1,Specificity (TNR),Binary Recall,ROC-AUC (OvR)
voting,Infiltration,23215,0.0151,0.9363,0.0296,0.6213,0.9365,0.8701
voting,Web Attacks,665,0.0037,0.8406,0.0074,0.9605,1.0,0.9803
voting,MACRO AVG,3778631,0.6312,0.7924,0.5585,0.9388,0.9894,0.9762
voting,WEIGHTED AVG,3778631,0.9875,0.5771,0.7194,0.9947,0.9967,0.9919
xgboost,Benign,3327227,0.9991,0.5803,0.7342,0.9963,,0.9925
xgboost,DDoS,278227,0.9985,0.692,0.8174,0.9999,1.0,0.9999
xgboost,DoS,96798,1.0,1.0,1.0,1.0,1.0,1.0
xgboost,Bot,28532,1.0,1.0,1.0,1.0,1.0,1.0
xgboost,BruteForce,23967,0.999,1.0,0.9995,1.0,1.0,1.0
xgboost,Infiltration,23215,0.0152,0.9284,0.0299,0.6282,0.9286,0.8702
xgboost,Web Attacks,665,0.0046,0.591,0.0091,0.9773,1.0,0.9802
xgboost,MACRO AVG,3778631,0.7166,0.8274,0.6557,0.9431,0.9881,0.9775
xgboost,WEIGHTED AVG,3778631,0.9929,0.6072,0.7464,0.9945,0.9963,0.9926
